Index;Time [s];
1;2,238587;
2;2,18889;
3;2,19731;
4;2,236624;
5;2,201704;
6;2,20386;
7;2,17789;
8;2,208025;
9;2,209254;
10;2,231658;
11;2,21166;
12;2,240862;
13;2,257791;
14;2,254057;
15;2,26116;
16;2,263317;
17;2,271897;
18;2,319234;
19;2,264389;
20;2,273152;
21;2,2947;
22;2,318781;
23;2,285336;
24;2,287825;
25;2,294717;
26;2,316258;
27;2,304213;
28;2,29406;
29;2,298075;
30;2,317173;
31;2,316898;
32;2,317702;
33;2,349288;
34;2,316291;
35;2,321715;
36;2,317247;
37;2,345414;
38;2,351564;
39;2,320618;
40;2,344649;
41;2,341553;
42;2,349407;
43;2,320244;
44;2,325531;
45;2,347526;
46;2,343211;
47;2,326274;
48;2,326895;
49;2,30567;
50;2,337838;
51;2,331739;
52;2,333706;
53;2,33084;
54;2,325008;
55;2,33653;
56;2,331327;
57;2,334064;
58;2,330396;
59;2,328335;
60;2,326438;
61;2,328974;
62;2,325178;
63;2,324302;
64;2,319037;
65;2,329443;
66;2,327231;
67;2,325785;
68;2,319076;
69;2,325901;
70;2,31311;
71;2,312109;
72;2,310515;
73;2,310055;
74;2,30715;
75;2,302864;
76;2,300399;
77;2,304596;
78;2,299883;
79;2,301845;
80;2,301098;
81;2,301339;
82;2,298946;
83;2,299229;
84;2,296844;
85;2,297114;
86;2,296274;
87;2,296049;
88;2,295329;
89;2,29461;
90;2,293868;
91;2,293057;
92;2,292049;
93;2,290773;
94;2,289886;
95;2,289849;
96;2,286672;
97;2,284859;
98;2,284054;
99;2,283689;
100;2,281716;
