Index;Time [s];
1;0.289906;
2;0.24691;
3;0.249129;
4;0.24425;
5;0.243501;
6;0.239723;
7;0.237728;
8;0.241431;
9;0.238372;
10;0.239745;
11;0.233666;
12;0.23334;
13;0.233698;
14;0.228354;
15;0.231586;
16;0.233217;
17;0.231547;
18;0.231407;
19;0.229988;
20;0.229402;
21;0.240841;
22;0.237986;
23;0.241134;
24;0.241074;
25;0.238207;
26;0.240034;
27;0.236996;
28;0.237017;
29;0.237789;
30;0.237205;
31;0.23481;
32;0.235289;
33;0.235053;
34;0.23344;
35;0.235291;
36;0.232931;
37;0.23068;
38;0.232706;
39;0.228704;
40;0.228649;
41;0.231099;
42;0.227422;
43;0.229271;
44;0.229458;
45;0.231531;
46;0.22766;
47;0.234377;
48;0.226174;
49;0.232471;
50;0.235404;
51;0.232383;
52;0.219241;
53;0.230453;
54;0.225593;
55;0.223983;
56;0.225891;
57;0.214292;
58;0.225942;
59;0.212635;
60;0.219318;
61;0.213681;
62;0.21959;
63;0.216004;
64;0.206752;
65;0.20663;
66;0.213826;
67;0.203201;
68;0.203801;
69;0.20219;
70;0.203549;
71;0.200748;
72;0.201704;
73;0.202771;
74;0.205762;
75;0.205493;
76;0.204749;
77;0.203976;
78;0.203135;
79;0.202354;
80;0.214757;
81;0.214157;
82;0.213505;
83;0.212832;
84;0.212141;
85;0.211439;
86;0.210762;
87;0.210018;
88;0.210085;
89;0.217736;
90;0.216019;
91;0.215895;
92;0.215213;
93;0.214515;
94;0.213804;
95;0.205572;
96;0.212037;
97;0.211249;
98;0.21041;
99;0.20969;
100;0.210769;
